id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
30506170888,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
30506170891,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
30506170894,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
30506170895,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,another situation
30506170910,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
30506170919,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
30506170922,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
30506170946,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
30506170950,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
30506170954,man,good no adverse circumstances were found,"correct, appropriate",another situation
30506170958,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
30506170974,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
30506170980,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
30506170984,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
30806170003,man,good no adverse circumstances were found,"correct, appropriate",another situation
30806170045,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
30806170048,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
30806170087,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
30806170095,man,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
30806170122,Woman,good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
30806170132,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",Side impact,another situation
30806170146,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31006170001,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
31006170018,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
31006170036,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,Side impact,walking on the right side
31006170072,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31006170167,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
31006170191,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
31006170212,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
31006170249,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
31006170381,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
31006170391,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
31006170395,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
31006170399,man,good no adverse circumstances were found,,another situation
31006170513,man,good no adverse circumstances were found,"correct, appropriate",another situation
31006170516,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31006170533,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing just in front of or behind a parked vehicle
31006170537,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31006170539,man,good no adverse circumstances were found,,crossing at a marked crossing
31006170541,man,good no adverse circumstances were found,,another situation
31106170022,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
31106170032,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
31106170042,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
31106170068,Woman,good no adverse circumstances were found,,another situation
31106170084,child (up to 15 years),good no adverse circumstances were found,sudden change in walking direction,another situation
31106170108,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
31106170122,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
31106170129,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
31106170142,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31106170178,group of children,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31106170200,child (up to 15 years),"inattention, distraction",Side impact,another situation
31106170204,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,another situation
31106170244,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
31106170261,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
31106170281,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
31106170287,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
31106170303,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
31106170304,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder","walking, standing on the pavement"
31106170368,man,not detected,children playing on the road,another situation
31106170370,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
31106170373,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder","walking, standing on the pavement"
31106170410,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
31106170457,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
31106170463,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
31106170476,man,good no adverse circumstances were found,"correct, appropriate",another situation
31106170487,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
31106170488,Woman,good no adverse circumstances were found,Side impact,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
31106170529,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
31106170579,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","sudden entry into the roadway from the sidewalk, shoulder",another situation
31106170584,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
31106170594,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",another situation
31106170627,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
31106170752,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40040170185,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40206170001,man,good no adverse circumstances were found,"correct, appropriate",another situation
40206170061,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
40206170106,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40206170139,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
40206170153,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40206170158,man,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
40206170160,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40206170168,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40206170239,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40206170316,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
40206170331,another group,not detected,,another situation
40206170358,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40206170425,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40206170440,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40206170444,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
40206170468,Woman,not detected,poor estimation of the distance and speed of the vehicle,another situation
40206170476,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40206170554,man,good no adverse circumstances were found,"correct, appropriate",another situation
40206170598,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40206170608,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40206170618,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
40206170621,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,walking on the wrong side
40206170625,another group,not detected,,another situation
40206170663,man,good no adverse circumstances were found,Side impact,another situation
40206170688,man,good no adverse circumstances were found,children playing on the road,crossing just in front of or behind a parked vehicle
40206170817,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40206170823,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40206170983,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40206170994,group of children,not detected,,another situation
40206171011,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40206171068,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing just in front of or behind a parked vehicle
40206171083,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40206171175,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40206171198,man,good no adverse circumstances were found,sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
40206171199,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
40206171247,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
40206171280,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40206171306,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40206171407,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40206171433,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
40206171472,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40206171495,man,good no adverse circumstances were found,,another situation
40206171547,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40206171563,man,good no adverse circumstances were found,,another situation
40206171566,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
40306170078,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
40306170088,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40306170114,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the right side
40306170129,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306170152,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306170166,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
40306170168,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306170173,another group,not detected,,another situation
40306170187,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
40306170197,man,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",another situation
40306170200,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40306170227,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40306170251,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40306170328,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
40306170378,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40306170386,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306170500,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40306170603,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40306170664,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306170699,another group,not detected,,another situation
40306170714,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40306170721,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40306170811,child (up to 15 years),"inattention, distraction",Side impact,crossing just in front of or behind a parked vehicle
40306170853,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40306170908,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40306170937,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306171027,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306171190,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306171201,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306171244,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306171248,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40306171360,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40306171455,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40306171506,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40606170059,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40606170156,man,good no adverse circumstances were found,"correct, appropriate",another situation
40606170163,another group,not detected,,another situation
40606170189,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40606170203,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40606170337,child (up to 15 years),"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
40606170356,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40606170382,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40606170458,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40606170551,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
40606170568,another group,not detected,,another situation
40606170581,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40606170611,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40606170743,child (up to 15 years),not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40606170846,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
40606170933,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40606170985,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40606170991,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40606171022,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40606171045,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
40606171082,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40606171148,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
40606171149,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40606171173,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40606171227,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40606171228,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40606171232,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40606171248,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
40606171266,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
40606171268,Woman,good no adverse circumstances were found,,walking on the right side
40606171277,man,not detected,,walking on the wrong side
40706170030,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
40706170049,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40706170088,Woman,"inattention, distraction",Side impact,crossing at a marked crossing
40706170129,man,not detected,"confused, hasty, indecisive behaviour",another situation
40706170156,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40706170221,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40706170233,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40706170259,man,good no adverse circumstances were found,"correct, appropriate",another situation
40706170262,man,not detected,sudden change in walking direction,walking on the right side
40706170268,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40706170304,man,good no adverse circumstances were found,"correct, appropriate",another situation
40706170363,man,not detected,,another situation
40706170491,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40706170494,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
40706170498,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40706170549,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40706170708,man,good no adverse circumstances were found,"correct, appropriate",another situation
40706170719,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,Crossing outside the crossing (20 metres or more from the crossing)
40706170874,Woman,good no adverse circumstances were found,,another situation
40706170952,another group,not detected,,another situation
40706171045,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40706171073,man,good no adverse circumstances were found,"correct, appropriate",another situation
40706171077,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
40706171115,Woman,"under the influence of drugs, narcotics","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40706171157,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
40706171230,man,"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
40706171243,another group,not detected,,another situation
40706171318,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40706171381,another group,not detected,,another situation
40806170161,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40806170171,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
40806170225,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170245,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170299,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170303,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40806170329,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
40806170366,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170409,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
40806170434,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
40806170512,another group,not detected,,another situation
40806170525,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40806170551,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
40806170571,child (up to 15 years),"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
40806170585,man,not detected,Side impact,crossing at a marked crossing
40806170622,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170643,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40806170664,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170692,Woman,not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40806170762,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170787,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806170789,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40806170853,Woman,not detected,"correct, appropriate",crossing at a marked crossing
40806170859,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40806170915,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40806170983,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40806170994,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806171048,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40806171064,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40806171107,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40806171179,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
40806171180,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40906170009,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40906170010,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170082,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
40906170095,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40906170138,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170165,Woman,good no adverse circumstances were found,,pedestrian entering on the STOP signal
40906170188,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",walking on the wrong side
40906170189,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170209,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
40906170215,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40906170234,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170235,child (up to 15 years),"inattention, distraction",Side impact,crossing at a marked crossing
40906170252,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,Crossing outside the crossing (20 metres or more from the crossing)
40906170320,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170353,man,good no adverse circumstances were found,"correct, appropriate",another situation
40906170377,child (up to 15 years),not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40906170423,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170438,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170527,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40906170534,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170543,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
40906170561,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40906170606,child (up to 15 years),"inattention, distraction",Side impact,another situation
40906170768,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40906170777,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
40906170799,Woman,not detected,,Crossing outside the crossing (20 metres or more from the crossing)
40906170818,another group,not detected,,another situation
40906170855,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40906170864,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
40906170889,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
40906170890,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906170956,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171042,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171054,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
40906171100,man,good no adverse circumstances were found,"correct, appropriate",another situation
40906171104,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40906171142,Woman,not detected,,Crossing outside the crossing (20 metres or more from the crossing)
40906171165,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171173,another group,not detected,,another situation
40906171177,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
40906171191,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
40906171217,Woman,other condition not specified,,crossing at a marked crossing
40906171236,another group,not detected,,another situation
40906171249,man,not detected,"correct, appropriate",pedestrian entry on the signal FREE
40906171261,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171276,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171285,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171297,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40906171339,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171346,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
40906171349,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40906171366,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40906171370,man,good no adverse circumstances were found,,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
41006170021,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170053,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170131,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
